"start","obj","grad","model"
"start00",1646.38091346126,0.000185947578996387,"A0"
"start04",1646.38091346126,2.42026071299102e-05,"A0"
"start05",1646.38091346126,5.58817915762226e-05,"A0"
"start16",1646.38091346126,0.000608984505282518,"A0"
"start03",1647.35726822527,7.62182097914374e-06,"A0"
"start18",1647.35726822527,0.00035152773427889,"A0"
"start11",1647.48960641097,4.62148913529516e-06,"A0"
"start02",1663.53461703421,1.24468069022558e-05,"A0"
"start07",1663.53461703421,2.86454173750841e-05,"A0"
"start10",1664.73396795722,2.12921275716546e-06,"A0"
"start14",1664.73396795722,1.43955339059579e-06,"A0"
"start17",1666.21046025774,0.000546659783775412,"A0"
"start13",1666.30883610579,2.6408958222104e-05,"A0"
"start06",1791.92127561116,0.00262060105635046,"A0"
"start19",2287.17651028507,0.000217931841538275,"A0"
"start15",2287.36451220122,0.00532912626367233,"A0"
"start08",2291.3375793082,0.00193960998470873,"A0"
"start20",2926.53260442346,0.00114287037112228,"A0"
"start09",2926.74037075195,6.23386204242664e-06,"A0"
"start12",3530.95720680452,8.7672001548666e-05,"A0"
"start01",4999.51782383461,0.00145093226389648,"A0"
"start18",2014.12998010481,8.57128519352991e-05,"S1_sexswap"
"start00",2016.86099972902,1.23574865124428e-05,"S1_sexswap"
"start02",2026.81391381902,9.2373602452147e-05,"S1_sexswap"
"start19",2028.55594525759,4.72886141915981e-05,"S1_sexswap"
"start16",2028.5559452576,7.6852715022469e-06,"S1_sexswap"
"start04",2060.52443623407,9.80542449894588e-05,"S1_sexswap"
"startWarm",2119.67598192528,0.000436997785487154,"S1_sexswap"
"start07",2247.97401885037,2.23644130379484e-07,"S1_sexswap"
"start05",2292.72990903705,1.62820851219935e-06,"S1_sexswap"
"start10",2292.72990903705,4.17021768712488e-05,"S1_sexswap"
"start14",2292.72990903705,2.08219231364323e-05,"S1_sexswap"
"start03",2459.90162700265,1.93853114589716e-05,"S1_sexswap"
"start17",2461.13922575221,7.15606855014794e-05,"S1_sexswap"
"start01",2469.55690242773,1.5070007951308e-05,"S1_sexswap"
"start20",2469.83296752351,3.78818336641999e-05,"S1_sexswap"
