"model","published_start","best_found","penalty","best_from","n_starts"
"B2_2010step",1823.09,1173.1,649.99,"start03",11
"B4_1990inc_lowM",1897.78,1254.56,643.22,"start06",11
"A13_extraSD",1728.49,1085.64,642.85,"start04",11
"B5_2010step_lowM",1326.58,1176.91,149.67,"start01",11
"B3_2005step",1384.46,1236.27,148.19,"start03",11
"A5_highdiscard",1757.06,1610.88,146.19,"start03",11
"A11_low_zfrac",1738.5,1593.55,144.95,"start06",11
"A4_USgrowth_highmat",1679.63,1577.82,101.8,"start02",11
"A9_lowM",1686.16,1663.83,22.33,"start02",11
"A10_highM",1640.73,1626.7,14.03,"start06",11
"A15_100discard",1530.18,1516.79,13.39,"start10",11
"A12_high_zfrac",1731.9,1729.57,2.33,"start04",11
"A7_SYNonly",557.43,556.06,1.37,"start04",11
"A6_IPHC+CPUE",1114.76,1113.66,1.1,"start04",11
"A14_lowdiscard",1693.06,1692.93,0.12,"start04",11
"A1",1564.25,1564.25,0,"start00",11
"A0",1646.38,1646.38,0,"start00",11
"A2_USgrowth",1606.83,1606.83,0,"start08",11
"A3_highmat",1477.49,1477.49,0,"start00",11
"A8_HBLLonly",482.68,482.68,0,"start00",11
"B1_1990inc",1246.56,1246.56,0,"start00",11
