"model","published","best","penalty","lencomp_pub","lencomp_best","depl_pub","depl_best","depl_shift"
"B2_2010step",1823.09,1173.1,649.99,1194,537.9,0.098,0.095,-0.003
"B4_1990inc_lowM",1897.78,1254.56,643.22,1220.4,565.4,0.179,0.157,-0.022
"A13_extraSD",1728.49,1085.64,642.85,1304.4,641.3,0.064,0.065,0
"B5_2010step_lowM",1326.58,1176.91,149.67,692.9,539.4,0.091,0.09,-0.001
"B3_2005step",1384.46,1236.27,148.19,704,551.6,0.164,0.158,-0.006
"A5_highdiscard",1757.06,1610.88,146.19,816.5,660,0.082,0.083,0
"A11_low_zfrac",1738.5,1593.55,144.95,801.4,645.7,0.091,0.092,0.001
"A4_USgrowth_highmat",1679.63,1577.82,101.8,635.4,708.4,0.09,0.096,0.006
"A9_lowM",1686.16,1663.83,22.33,694.8,679,0.08,0.078,-0.001
"A10_highM",1640.73,1626.7,14.03,666.2,663.2,0.094,0.093,-0.001
"A15_100discard",1530.18,1516.79,13.39,633.6,629.1,0.075,0.075,0.001
"A12_high_zfrac",1731.9,1729.57,2.33,722.3,720.1,0.086,0.086,0
"A7_SYNonly",557.43,556.06,1.37,440,438.7,0.065,0.065,0
"A6_IPHC+CPUE",1114.76,1113.66,1.1,399.7,398.5,0.097,0.097,0
"A14_lowdiscard",1693.06,1692.93,0.12,686.1,686.1,0.088,0.088,0
"A0",1646.38,1646.38,0,671.1,671.1,0.086,0.086,0
"A1",1564.25,1564.25,0,636,636,0.098,0.098,0
"A2_USgrowth",1606.83,1606.83,0,702.5,702.5,0.099,0.099,0
"A3_highmat",1477.49,1477.49,0,609.3,609.3,0.106,0.106,0
"A8_HBLLonly",482.68,482.68,0,285.4,285.4,0.997,0.997,0
"B1_1990inc",1246.56,1246.56,0,562.5,562.5,0.172,0.172,0
