"start","obj","grad"
"start06",1562.20852505896,2.26509082668129e-05
"start11",1562.20852505896,2.29763221763469e-05
"start05",1562.85248109343,4.61496464946664e-06
"start01",1562.85248109344,3.47653599881806e-05
"start03",1562.85248109344,0.000134097140191715
"start08",1562.85248109344,3.70619286780805e-06
"start09",1562.85248109344,2.83154470953797e-06
"start10",1562.85248109344,1.37256017076535e-06
"start00",1567.77922149297,8.66230742227405e-05
"start02",1584.51162717492,3.15288652782221e-05
"start07",1657.35939410371,7.60033437705903e-05
"start12",1706.12762413701,8.41104091949981e-05
"start04",3856.15912908324,2.71156255100337e-05
